Note Names from C	Number Of Notes In Scale	Ascending Note Positions in Scale	Binary 12notes 1&0	Pitch Set binary	Name Of Scale	Alternative Scale Names	Flatmost Note	PitchSet Notation 12 edo	PositionOfTonic	Sharpmost Note	Composer	Reference Url	WorkExample
C Db Ebb Eb Fb F Gb G Ab Bbb Bb Cb .	12	1 2b 3bb 3b 4b 4 5b 5 6b 7bb 7b 8b .	111111111111	4095	18 LT DAW 9b 0# Bb Eb Ab Db Gb Cb Fb Bbb Ebb		Ebb	0 1 2 3 4 5 6 7 8 9 10 11	11	G			
B# C# D D# E E# F# Fx G# A A# B .	12	7# 1# 2 2# 3 3# 4# 4x 5# 6 6# 7 .	111111111111	4095	10 LT DAW  0b8s (C note = B#)		D	0 1 2 3 4 5 6 7 8 9 10 11	11	Fx			
C Db Ebb Eb Fb F Gb Abb Ab Bbb Bb Cb .	12	1 2b 3bb 3b 4b 4 5b 6bb 6b 7bb 7b 8b .	111111111111	4095	19 LT DAW 10b0s BbEbAbDbGbCbFbBbbEbbAbb		Abb	0 1 2 3 4 5 6 7 8 9 10 11	12	C			
B# C# D D# E E# F# G G# A A# B .	12	1# 2 2# 3 3# 4# 5 5# 6 6# 7 7# .	111111111111	4095	09 LT DAW 0b7s F# to B# (C note = B#)		G	0 1 2 3 4 5 6 7 8 9 10 11	-1	E#		http://www.lucytune.com/midi_and_keyboard/pitch_bend.html	
C C# D D# E F F# G G# A A# B .	12	1 1# 2 2# 3 4 4# 5 5# 6 6# 7 .	111111111111	4095	01 & 07 LT DAW (5 sharps) LT 01 & 07		F	0 1 2 3 4 5 6 7 8 9 10 11	2	A#		http://www.lucytune.com/midi_and_keyboard/pitch_bend.html	
C C# D D# E F F# G G# A Bb B .	12	1 1# 2 2# 3 4 4# 5 5# 6 7b 7 .	111111111111	4095	06 LT DAW 12 notes scales		Bb	0 1 2 3 4 5 6 7 8 9 10 11	4	D#			
C C# D Eb E F F# G G# A Bb B .	12	1 1# 2 3b 3 4 4# 5 5# 6 7b 7 .	111111111111	4095	05 LT DAW  2b3s Eb to G#		Eb	0 1 2 3 4 5 6 7 8 9 10 11	4	G#		http://www.lucytune.com/midi_and_keyboard/pitch_bend.html	
C C# D Eb E F F# G Ab A Bb B .	12	1 1# 2 3b 3 4 4# 5 6b 6 7b 7 .	111111111111	4095	04 & 21 LT DAW  3b2# 		Ab	0 1 2 3 4 5 6 7 8 9 10 11	5	C#		http://www.lucytune.com/midi_and_keyboard/pitch_bend.html	
C Db D Eb E F F# G Ab A Bb B .	12	1 2b 2 3b 3 4 4# 5 6b 6 7b 7 .	111111111111	4095	03 LT DAW 4b1# Db to F#		Db	0 1 2 3 4 5 6 7 8 9 10 11	6	F#		http://www.lucytune.com/midi_and_keyboard/pitch_bend.html	
C Db D Eb E F Gb G Ab A Bb B .	12	1 2b 2 3b 3 4 5b 5 6b 6 7b 7 .	111111111111	4095	02 & 14 LT DAW - (5 flats) 		Gb	0 1 2 3 4 5 6 7 8 9 10 11	7	B		http://www.lucytune.com/midi_and_keyboard/pitch_bend.html	
C Db D Eb E F Gb G Ab A Bb Cb .	12	1 2b 2 3b 3 4 5b 5 6b 6 7b 8b .	111111111111	4095	15 LT DAW  6b0s		Cb	0 1 2 3 4 5 6 7 8 9 10 11	8	E			
B# C# Cx D# Dx E# F# Fx G# Gx A# B .	12	7# 1# 1x 2# 2x 3# 4# 4x 5# 5x 6# 7 .	111111111111	4095	13 LT DAW 0b11s (C note = B#)		B	0 1 2 3 4 5 6 7 8 9 10 11	8	Dx			
C Db D Eb Fb F Gb G Ab A Bb Cb .	12	1 2b 2 3b 4b 4 5b 5 6b 6 7b 8b .	111111111111	4095	16 LT DAW 7b 0# Bb Eb Ab Db Gb Cb Fb		Fb	0 1 2 3 4 5 6 7 8 9 10 11	9	A			
B# C# Cx D# E E# F# Fx G# Gx A# B .	12	7# 1# 1x 2# 3 3# 4# 4x 5# 5x 6# 7 .	111111111111	4095	12 LT DAW 0b10s (C note = B#)		E	0 1 2 3 4 5 6 7 8 9 10 11	9	Gx			
C C# D D# E F F# G A A# B .	11	1 1# 2 2# 3 4 4# 5 6 6# 7 .	111111110111	4087	Theoretical - No Known Name		F	0 1 2 3 4 5 6 7 9 10 11	2	A#			
C C# D E F F# G G# A A# B .	11	1 1# 2 3 4 4# 5 5# 6 6# 7 .	111011111111	3839	Theoretical - No Known Name		F	0 1 2 4 5 6 7 8 9 10 11	2	A#			
C D Eb E F F# G G# A B .	10	1 2 3b 3 4 4# 5 5# 6 7 .	101111111101	3069	Pan Lydian		Eb	0 2 3 4 5 6 7 8 9 11	4	G#	George Russell	http://www.lydianchromaticconcept.com/images/Brochure.pdf	Eleven-Tone Order Official Scales
C E G Cb .	4	1 3 5 8b .	100010010001	2193	C (b8) chord	Chord C (b8)	Cb	0 4 7 11	8	E			
C Db E F# G A B .	7	1 2b 3 4# 5 6 7 .	110010110101	3253	Marva or Marvi  (as 7/3/1 in 12 edo)	Marva Thaat (India)	Db	0 1 4 6 7 9 11	6	F#			
C Db F# G .	4	1 2b 4# 5 .	110000110000	3120	Messiaen Mode 2 	truncated mode 2	Db	0 1 6 7	6	F#	Messiaen Mode 2 	http://oliviermessiaen.net/musical-language/messiaens-chord-and-harmonic-theory/	Technique of My Musical Language e.g. 343 from C
C Db E F# G .	5	1 2b 3 4# 5 .	110010110000	3248	Balinese Pentachord (as 7/346/1 in 12edo)		Db	0 1 4 6 7	6	F#			
C C# D F# G Ab .	6	1 1# 2 4# 5 6b .	111000111000	3640	Messiaen Mode 5 (dupe 8/456/1 in 12edo		Ab	0 1 2 6 7 8	5	C#		http://oliviermessiaen.net/musical-language/messiaens-chord-and-harmonic-theory/	
C E F Gb Bb B .	6	1 3 4 5b 7b 7 .	100011100011	2275	Messiaen Mode 5 Inverse?		Gb	0 4 5 6 10 11	7	B		http://oliviermessiaen.net/musical-language/messiaens-chord-and-harmonic-theory/	
C D Eb Gb A B .	6	1 2 3b 5b 6 7 .	101100100101	2853	Raga Ranjani, Rangini (India)		Gb	0 2 3 6 9 11	7	B			
C Eb E Gb A B .	6	1 3b 3 5b 6 7 .	100110100101	2469	Theoretical - No Known Name		Gb	0 3 4 6 9 11	7	B			
C Eb Gb B .	4	1 3b 5b 7 .	100100100001	2337	Theoretical - No Known Name		Gb	0 3 6 11	7	B			
C Eb Gb G B .	5	1 3b 5b 5 7 .	100100110001	2353	Raga Multani (India)?		Gb	0 3 6 7 11	7	B			
C Eb Gb G A B .	6	1 3b 5b 5 6 7 .	100100110101	2357	Theoretical - No Known Name		Gb	0 3 6 7 9 11	7	B			
C Db E F# G A Bb B .	8	1 2b 3 4# 5 6 7b 7 .	110010110111	3255	Theoretical - No Known Name		Db	0 1 4 6 7 9 10 11	6	F#			
C Db E F# G A Bb .	7	1 2b 3 4# 5 6 7b .	110010110110	3254	Romanian Major, Purvi bVII	Petrushka Chord	Db	0 1 4 6 7 9 10	6	F#			
C Eb G G# .	4	1 3b 5 5# .	100100011000	2398	C minor (#5) chord	Chord Cm #12	Eb	0 3 7 8	4	G#			
C Eb E Gb A Bb B .	7	1 3b 3 5b 6 7b 7 .	100110100111	2471	Theoretical - No Known Name		Gb	0 3 4 6 9 10 11	7	B			
C Eb Gb G Bb B .	6	1 b3 5b 5 b7 7 .	100100110011	2355	Raga Jivantini, Gaurikriya (India		Gb	0 3 6 7 10 11	7	B			
C C# D Eb F# G G# A .	8	1 1# 2 3b 4# 5 5# 6 .	111100111100	3900	Messiaen Mode 4 (1b3#¢s)		Eb	0 1 2 3 6 7 8 9	4	G#		http://oliviermessiaen.net/musical-language/messiaens-chord-and-harmonic-theory/	
C C# D F F# G Ab B .	8	1 1# 2 4 4# 5 6b 7 .	111001111001	3705	Messiaen 5 according to Brown		Ab	0 1 2 5 6 7 8 11	5	C#		http://oliviermessiaen.net/musical-language/messiaens-chord-and-harmonic-theory/	
C Db Eb F# G A .	6	1 2b 3b 4# 5 6 .	110100110100	3380	Messiaen Truncated Mode 2 (b2, 3b,#4)	as 9/3569/1 in 12edo	Db	0 1 3 6 7 9	6	F#		http://oliviermessiaen.net/musical-language/messiaens-chord-and-harmonic-theory/	
C Db Eb F# G .	5	1 2b 3b 4# 5 .	110100110000	3376	Japanese Pentachord (as 7/356/7 in 12edo)		Db	0 1 3 6 7	6	F#			
C C# D D# F# G# Bb B .	8	1 1# 2 2# 4# 5# 7b 7 .	111100101011	3883	Theoretical - No Known Name		Bb	0 1 2 3 6 8 10 11	3	D#			
C C# D D# F# G# Bb .	7	1 1# 2 2# 4# 5# 7b .	111100101010	3882	Theoretical - No Known Name		Bb	0 1 2 3 6 8 10	3	D#			
