Note Names from C	Number Of Notes In Scale	Ascending Note Positions in Scale	Binary 12notes 1&0	Pitch Set binary	Name Of Scale	Alternative Scale Names	Flatmost Note	PitchSet Notation 12 edo	PositionOfTonic	Sharpmost Note	Composer	Reference Url	WorkExample
C D Eb E F# A Bb B .	8	1 2 3b 3 5b 6 7b 7 .	101110100111	2983	Theoretical - No Known Name		Eb	0 2 3 4 6 9 10 11	4	F#			
C Db D Eb F Gb G A .	8	1 2b 2 3b 4 5b 5 6 .	111101110100	3956	Theoretical - No Known Name		Gb	0 1 2 3 5 6 7 9	7	A			
C D F Gb G Ab Bb Cb .	8	1 2 4 4# 5b 5 6b 7b 8b .	101001111011	2683	Theoretical - No Known Name		Cb	0 2 5 6 7 8 10 11	8	D			
C Db Eb Fb F G Bb Cb .	8	1 2b 3b 4b 4 5 7b 8b .	110111010011	3539	Theoretical - No Known Name		Fb	0 1 3 4 5 7 10 11	9	G			
C C# D# F# G G# A .	7	1 1# 2# 4# 5 5# 6 .	110100111100	3388	Mela Gavambohdi (India)		C	0 1 3 6 7 8 9	1	D#			
C C# D F F# G# B .	7	1 1# 2 4 4# 5# 7 .	111001101001	3689	Theoretical - No Known Name		F	0 1 2 5 6 8 11	2	G#			
C D F Gb G Ab Cb .	7	1 2 4 4# 5b 5 6b 8b .	101001111001	2681	Theoretical - No Known Name		Cb	0 2 5 6 7 8 11	8	D			
C C# D F F# G# .	6	1 1# 2 4 4# 5# .	111001101000	3688	Theoretical - No Known Name		F	0 1 2 5 6 8	2	G#			
C D F G# .	4	1 2 4 5# .	101001001000	2632	Raga Haripriya (India)		F	0 2 5 8	2	G#			
C Eb F# Bb .	4	1 3b 4# 7b .	100100100010	2338	Messiaen Truncated F# Bb Eb		Eb	0 3 6 10	4	F#		http://oliviermessiaen.net/musical-language/messiaens-chord-and-harmonic-theory/	
C C# D# G A .	5	1 1# 2# 5 6 .	110100010100	3348	Theoretical - No Known Name		C	0 1 3 7 9	1	D#			
C D F F# G# .	5	1 2 4 4# 5# .	101001101000	2664	Theoretical - No Known Name		F	0 2 5 6 8	2	G#			
C C# D F G# B .	6	1 1# 2 4 5# 7 .	111001001001	3657	Theoretical - No Known Name		F	0 1 2 5 8 11	2	G#			
C Eb F# A Bb B .	6	1 3b 4# 6 7b 7 .	100100100111	2343	Theoretical - No Known Name		Eb	0 3 6 9 10 11	4	F#			
C D F G# B .	5	1 2 4 5# 7 .	101001001001	2633	Raga Priyadharshini (India)		F	0 2 5 8 11	2	G#			
C Eb F# A Bb .	5	1 3b 4# 6 7b .	100100100110	2342	Theoretical - No Known Name		Eb	0 3 6 9 10	4	F#			
C Db Eb Gb A .	5	1 2b 3b 5b 6 .	110100100100	3364	Theoretical - No Known Name		Gb	0 1 3 6 9	7	A			
C C# D# F# G A .	6	1 1# 2# 4# 5 6 .	110100110100	3380	Messiaen Truncated Mode 2 (#1,#2,#4)	as 11/24581011/6 in 12edo	C	0 1 3 6 7 9	1	D#			
C D F F# G# B .	6	1 2 4 4# 5# 7 .	101001101001	2665	Messiaen Mode 2 	truncated mode 2	F	0 2 5 6 8 11	2	G#	Messiaen Mode 2	http://oliviermessiaen.net/musical-language/messiaens-chord-and-harmonic-theory/	Technique of My Musical Language e.g. 342 from C
C D F Gb Ab Cb .	6	1 2 4 5b 6b 8b .	101001101001	2665	Messiaen Mode 2 	truncated mode 2	Cb	0 2 5 6 8 11	8	D	Messiaen Mode 2	http://oliviermessiaen.net/musical-language/messiaens-chord-and-harmonic-theory/	Technique of My Musical Language e.g. 342 from C
C C# D E F F# G# .	7	1 1# 2 3 4 4# 5# .	111011101000	3816	Theoretical - No Known Name		F	0 1 2 4 5 6 8	2	G#			
C D Eb E F# Bb B .	7	1 2 3b 3 4# 7b 7 .	101110100011	2979	Theoretical - No Known Name		Eb	0 2 3 4 6 10 11	4	F#			
C Db Eb Fb F G Cb .	7	1 2b 3b 4b 4 5 8b .	110111010001	3537	Theoretical - No Known Name		Fb	0 1 3 4 5 7 11	9	G			
C C# D E F G# .	6	1 1# 2 3 4 5# .	111011001000	3784	Theoretical - No Known Name		F	0 1 2 4 5 8	2	G#			
C C# D E F Bb .	6	1 1# 2 3 4 7b .	111011000010	3778	Theoretical - No Known Name		Bb	0 1 2 4 5 10	3	C#			
C C# D# G A B .	6	1 1# 2# 5 6 7 .	110100010101	3349	Theoretical - No Known Name		C	0 1 3 7 9 11	1	D#			
C D E F F# G# .	6	1 2 3 4 4# 5# .	101011101000	2792	Theoretical - No Known Name		F	0 2 4 5 6 8	2	G#			
C C# D E F G# B .	7	1 1# 2 3 4 5# 7 .	111011001001	3785	Theoretical - No Known Name		F	0 1 2 4 5 8 11	2	G#			
C C# D E F Bb B .	7	1 1# 2 3 4 7b 7 .	111011000011	3779	Theoretical - No Known Name		Bb	0 1 2 4 5 10 11	3	C#			
C Db D Eb F Gb A .	7	1 2b 2 3b 4 5b 6 .	111101100100	3940	Theoretical - No Known Name		Gb	0 1 2 3 5 6 9	7	A			
C D E F G# B .	6	1 2 3 4 5# 7 .	101011001001	2761	Raga Sarasanana (India)		F	0 2 4 5 8 11	2	G#			
C Db E G Ab Bb .	6	1 2b 3 5 6b 7b .	110010011010	3226	Raga Kalagada (India)		Db	0 1 4 7 8 10	6	E			
C Db Eb F Gb A .	6	1 2b 3b 4 5b 6 .	110101100100	3428	Double-Phrygian Hexatonic		Gb	0 1 3 5 6 9	7	A			
C C# D# F# G A B .	7	1 1# 2# 4# 5 6 7 .	110100110101	3381	Theoretical - No Known Name		C	0 1 3 6 7 9 11	1	D#			
C D E F F# G# B .	7	1 2 3 4 4# 5# 7 .	101011101001	2793	Theoretical - No Known Name		F	0 2 4 5 6 8 11	2	G#			
C Db Eb F Gb G A .	8	1 2b 3b 4 5b 5 6 .	110101110100	3444	Theoretical - No Known Name		Gb	0 1 3 5 6 7 9	7	A			
C D F Gb Ab Bb Cb .	7	1 2 4 5b 6b 7b 8b .	101001101011	2667	Theoretical - No Known Name		Cb	0 2 5 6 8 10 11 	8	D			
C Db Eb Fb F Gb Bbb Bb .	8	1 2b 3b 4b 4 5b 7bb 7b .	110111100110	3558	Maqam Shadd'araban (6b¢s)		Bbb	0 1 3 4 5 6 9 10	10	C			
C C# D F F# G# A B .	8	1 1# 2 4 4# 5# 6 7 .	111001101101	3693	Theoretical - No Known Name		F	0 1 2 5 6  8 9 11	2	G#			
C Eb E F# G A Bb B .	8	1 3b 3 4# 5 6 7b 7 .	100110110111	2487	Theoretical - No Known Name		Eb	0 3 4 6 7 9 10 11	4	F#			
C D Eb E F Ab A B .	8	1 2 3b 3 4 6b 6 7 .	101111001101	3021	Theoretical - No Known Name		Ab	0 2 3 4 5 8 9 11	5	B			
C C# D F F# G# A .	7	1 1# 2 4 4# 5# 6 .	111001101100	3692	Theoretical - No Known Name		F	0 1 2 5 6 7 8	2	G#			
C C# D F G# A .	6	1 1# 2 4 5# 6 .	111001001100	3660	Raga Suddha Mukhari (India)		F	0 1 2 5 8 9	2	G#			
C D# E G A .	5	1 2# 3 5 6 .	100110010100	2452	Raga Mohanangi (India)		C	0 3 4 7 9	1	D#			
C Eb F# G Bb .	5	1 3b 4# 5 7b .	100100110010	2354	Raga Samudhra Priya (India)		Eb	0 3 6 7 10	4	F#			
C C# D# E G A .	6	1 1# 2# 3 5 6 .	110110010100	3476	Blues Dorian Hexatonic		Db	0 1 3 4 7 9	6	E			
C D F F# G# A .	6	1 2 4 4# 5# 6 .	101001101100	2668	Theoretical - No Known Name		F	0 2 5 6 8 9	2	G#			
C Eb F Ab A B .	6	1 3b 4 6b 6 7 .	100101001101	2381	Theoretical - No Known Name		Ab	0 3 5 8 9 11	5	B			
C D# E F# G G# A .	7	1 2# 3 4# 5 5# 6 .	100110111100	2492	Mela Sucaritra (India)		C	0 3 4 6 7 8 9	1	D#			
C Db Eb Fb F Gb Bbb .	7	1 2b 3b 4b 4 5b 7bb .	110111100100	3556	Theoretical - No Known Name		Bbb	0 1 3 4 5 6 9	10	C			
C C# D F G# A B .	7	1 1# 2 4 5# 6 7 .	111001001101	3661	Theoretical - No Known Name		F	0 1 2 5 8 9 11	2	G#			
C D Eb E F Ab B .	7	1 2 3b 3 4 6b 7 .	101111001001	3017	Theoretical - No Known Name		Ab	0 2 3 4 5 8 11	5	B			
C Db D Eb Gb A Bb .	7	1 2b 2 3b 5b 6 7b .	111101000110	3910	Theoretical - No Known Name		Gb	0 1 2 3 6 9 10	7	A			
C Db Eb Fb Gb Bbb .	6	1 2b 3b 4b 5b 7bb .	110110100100	3492	Theoretical - No Known Name		Bbb	0 1 3 4 6 9	10	C			
C D Eb F Ab B .	6	1 2 3b 4 6b 7 .	101101001001	2889	Raga Ghantana (India)		Ab	0 2 3 5 8 11	5	B			
C Db Eb Gb A Bb .	6	1 2b 3b 5b 6 7b .	110100100110	3366	Theoretical - No Known Name		Gb	0 1 3 6 9 10	7	A			
C Db Eb Fb Gb Bbb Bb .	7	1 2b 3b 4b 5b 7bb 7b .	110110100110	3494	Theoretical - No Known Name		Bbb	0 1 3 4 6 9 10	10	C			
C C# D E F F# G# A  .	8	1 1# 2 3 4 4# 5# 6  .	111011101100	3820	Theoretical - No Known Name		F	0 1 2 4 5 6 8 9	3	G#			
C D Eb E F# G Bb B .	8	1 2 3b 3 4# 5 7b 7 .	101110110011	2995	Theoretical - No Known Name		Eb	0 2 3 4 6 7 10 11	4	F#			
C Db Eb Fb F G Ab Cb .	8	1 2b 3b 3 4 5 6b 8b .	110111011001	3545	Theoretical - No Known Name		Fb	0 1 3 4 5 7 8 11	9	G			
C C# D E F G# A .	7	1 1# 2 3 4 5# 6 .	111011001100	3788	Theoretical - No Known Name		F	0 1 2 4 5 8 9	2	G#			
C D E F G# A .	6	1 2 3 4 5# 6 .	101011001100	2764	Theoretical - No Known Name		F	0 2 4 5 8 9	2	G#			
C Eb F G Ab B .	6	1 3b 4 5 6b 7 .	100101011001	2393	Raga Takka (India)		Ab	0 3 5 7 8 11	5	B			
C Db E F Ab Bb .	6	1 2b 3 4 6b 7b .	110011001010	3274	Phrygian no fifth		Db	0 1 4 5 8 10	6	E			
C D E F F# G# A .	7	1 2 3 4 4# 5# 6 .	101011101100	2796	Theoretical - No Known Name		F	0 2 4 5 6 8 9	2	G#			
C D Eb E F# G Bb .	7	1 2 3b 3 4# 5 7b .	101110110010	2994	Theoretical - No Known Name		Eb	0 2 3 4 6 7 10	4	F#			
C Eb F G Ab A B .	7	1 3b 4 5 6b 6 7 .	100101011101	2397	Theoretical - No Known Name		Ab	0 3 5 7 8 9 11	5	B			
C D# E F# G G# A B .	8	1 2# 3 4# 5 5# 6 7 .	100110111101	2493	Theoretical - No Known Name		C	0 3 4 6 7 8 9 11	1	D#			
C Db Eb Fb F Gb Ab Bbb  .	8	1 2b 3b 4b 4 5b 6b 7bb .	110111101100	3564	Theoretical - No Known Name		Bbb	0 1 3 4 5 6 8 9	10	C			
C C# D E F G# A B .	8	1 1# 2 3 4 5# 6 7 .	111011001101	3789	Theoretical - No Known Name		F	0 1 2 4 5 8 9 11	2	G#			
C D Eb F# G A Bb B .	8	1 2 3b 4# 5 6 7b 7 .	101100110111	2871	Theoretical - No Known Name		Eb	0 2 3 6 7 9 10 11	4	F#			
C D Eb E F G Ab B .	8	1 2 3b 3 4 5 6b 7 .	101111011001	3033	Theoretical - No Known Name		Ab	0 2 3 4 5 7 8 11	5	B			
C Db D Eb F Gb A Bb .	8	1 2b 2 3b 4 5b 6 7b .	111101100110	3942	Theoretical - No Known Name		Gb	0 1 2 3 5 6 9 10	7	A			
C Db Eb Fb G Ab Bb Cb .	8	1 2b 3b 4b 5 6b 7b 7 .	110110011011	3483	Theoretical - No Known Name		Fb	0 1 3 4 7 8 10 11	9	G			
C D# E F# G A B .	7	1 2# 3 4# 5 6 7 .	100110110101	2485	Lydian #2 Raga Kuksumakaram 		C	0 3 4 6 7 9 11	1	D#			
C D E F G# A B .	7	1 2 3 4 5# 6 7 .	101011001101	2765	Harmonic Major 2, Ionian #5		F	0 2 4 5 8 9 11	2	G#			
C D Eb F# G A Bb .	7	1 2 3b 4# 5 6 7b .	101100110110	2870	Romanian, Gnossiennes	Ukrainian minor Raja, Dorian with a sharp fourth	Eb	0 2 3 6 7 9 10	4	F#			
C D Eb F G Ab B .	7	1 2 3b 4 5 6b 7 .	101101011001	2905	Harmonic Minor	Raga Kirwani?	Ab	0 2 3 5 7 8 11	5	B			
C Db E F G Ab Bb .	7	1 2b 3 4 5 6b 7b .	110011011010	3290	Phrygian Dominant, Dorico Flamenco, Avaha Raba, Spanish Folk, Jewish Major	(India) Alhijaz (Arabia) Ahavh Rabbah (Israel) Hitzaz (Greece) Spanish Gypsy	Db	0 1 4 5 7 8 10	6	E			
C Db Eb F Gb A Bb .	7	1 2b 3b 4 5b 6 7b .	110101100110	3430	Locrian Natural Maj 6, Pseudo Turkish		Gb	0 1 3 5 6 9 10	7	A			
C C# D# E F# G  A B .	8	1 1# 2# 3 4# 5 6 7 .	110110110101	3509	Shostakovich name in Cyrillic monogram	Shostakovich	C	0 1 3 4 6 7 9 11	1	D#	Shostakovich	http://everything2.com/index.pl?node_id=1329992&displaytype=printable	monogram = D S C H = D Eb C B. 10th symphony
C Db Eb Fb Gb Ab Bbb Bb .	8	1 2b 3b 4b 5b 6b 7bb 7b .	110110101110	3502	Theoretical - No Known Name		Bbb	0 1 3 4 6 8 9 10	10	C			
C D E F F# G# A B .	8	1 2 3 4 4# 5# 6 7 .	101011101101	2797	Theoretical - No Known Name		F	0 2 4 5 6 8 9 11	2	G#			
C D Eb E F# G A Bb .	8	1 2 3b 3 4# 5 6 7b .	101110110110	2998	Lydian Dim b7	Chord Cm693sus4#	Eb	0 2 3 4 6 7 9 10	4	F#	George Russell	http://www.lydianchromaticconcept.com/images/Brochure.pdf	Nine Tone Order Official Scales
C Db Eb F Gb G A Bb .	8	1 2b 3b 4 5b 5 6 7b .	110101110110	3446	Theoretical - No Known Name		Gb	0 1 3 5 6 7 9 10	7	A			
C Db Eb Fb F Ab Bbb Bb Cb .	9	1 2b 3b 4b 4 6b 7bb 7b 8b .	110111001111	3535	Theoretical - No Known Name		Bbb	0 1 3 4 5 8  9 10 11	10	C			
C C# E F F# G G# A B .	9	1 1# 3 4 4# 5 5# 6 7 .	110011111101	3325	Theoretical - No Known Name		F	0 1 4 5 6 7 8 9 11	2	G#			
C C# D E F F# A Bb B .	9	1 1# 2 3 4 4# 6 7b 7 .	111011100111	3815	Theoretical - No Known Name		Bb	0 1 2 4 5 6 9 10 11	3	C#			
C D Eb E G Ab A Bb B .	9	1 2 2# 3 5 5# 6 7b 7 .	101110011111	2975	Theoretical - No Known Name		Ab	0 2 3 4 7 8 9 10 11	5	B			
C Db D Eb F Gb G Bb Cb .	9	1 2b 2 3b 4 5b 5 7b 8b .	111101110011	3955	Theoretical - No Known Name		Cb	0 1 2 3 5 6 7 10 11	8	D			
C C# E F F# Bb B .	7	1 2b 3 4 5b 7b 8b .	110011100011	3299	Theoretical - No Known Name		Bb	0 1 4 5 6 10 11	3	C#			
C F F# G G#  .	5	1 4 4# 5 5#  .	100001111100	2172	Theoretical - No Known Name		F	0 5 6 7 8	2	G#			
C C# E F F# Bb .	6	1 2b  3 4 5b 7b .	110011100010	3298	Theoretical - No Known Name		Bb	0 1 4 5 6 10	3	C#			
C Db Gb G Ab A .	6	1 2b 5b 5 6b 6 .	110000111100	3132	Theoretical - No Known Name		Gb	0 1 6 7 8 9	7	A			
C D D# F# G .	5	1 2 2#4# 5 .	101100110000	2864	Theoretical - No Known Name		C	0 2 3 6 7	1	D#			
C F G G# B .	5	1 4 5 5# 7 .	100001011001	2137	Raga Devaranjani (India)		F	0 5 7 8 11	2	G#			
C Db Gb Ab A .	5	1 2b 5b 6b 6  .	110000101100	3116	Theoretical - No Known Name		Gb	0 1 6 8 9	7	A			
C C# D D# F# G .	6	1 1# 2 2# 4# 5 .	111100110000	3888	Theoretical - No Known Name		C	0 1 2 3 6 7	1	D#			
C F F# G G# B .	6	1 4 4# 5 5# 7 .	100001111001	2169	Theoretical - No Known Name		F	0 5 6 7 8 11	2	G#			
C C# E F F# G G# .	7	1 1# 3 4 4# 5 5# .	110011111000	3320	Theoretical - No Known Name		F	0 1 4 5 6 7 8	2	G#			
C C# F F# A Bb B .	7	1 1# 4 4# 6 7b 7 .	110001100111	3175	Theoretical - No Known Name		Bb	0 1 5 6 9 10 11	3	C#			
C C# F F# A Bb .	6	1 1# 4 4# 6 7b .	110001100110	3174	Theoretical - No Known Name		Bb	0 1 5 6 9 10	3	C#			
C E F F# G G# .	6	1 3 4 4# 5 5# .	100011111000	2296	Theoretical - No Known Name		F	0 4 5 6 7 8	2	G#			
C Db Eb E G Ab A .	7	1 2b 3b 4b 5 6b 6 .	110110011100	3484	Theoretical - No Known Name		Db	0 1 3 4 7 8 9	6	E			
C D D# F# G B .	6	1 2 2# 4# 5 7 .	101100110001	2865	Raga Amarasenapriya (India)		C	0 2 3 6 7 11	1	D#			
C Db Eb E G Ab .	6	1 2b 3b 4 5 6 6b .	110110011000	3480	Theoretical - No Known Name		Db	0 1 3 4 7 8	6	E			
C Db F Gb Ab A .	6	1 2b 4 5b 6b 6 .	110001101100	3180	Theoretical - No Known Name		Gb	0 1 5 6 8 9	7	A			
C C# D D# F# G B .	7	1 1# 2 2# 4# 5 7 .	111100110001	3889	Theoretical - No Known Name		C	0 1 2 3 6 7 11	1	D#			
C Db Eb Fb F Bbb Bb Cb .	8	1 2b 3b 4b 4 7bb 7b 8b .	110111000111	3527	Theoretical - No Known Name		Bbb	0 1 3 4 5 9 10 11	10	C			
C C# F F# G G# A B .	8	1 1# 4 4# 5 5# 6 7 .	110001111101	3197	Theoretical - No Known Name		F	0 1 5 6 7 8 9 11	2	G#			
C C# D E F F# Bb B .	8	1 1# 2 3 4 4# 7b 7 .	111011100011	3811	Theoretical - No Known Name		Bb	0 1 2 4 5 6 10 11	3	C#			
C D Eb E Ab A Bb B .	8	1 2 3b 3 6b 6 7b 7 .	101110001111	2959	Theoretical - No Known Name		Ab	0 2 3 4 8 9 10 11	5	B			
C Db D Eb F Gb G Cb .	8	1 2b 2 3b 4 5b 5 8b .	111101110001	3953	Theoretical - No Known Name		Cb	0 1 2 3 5 6 7 11	8	D			
C C# D D# E G G# .	7	1 1# 2 2# 3 5 5# .	111110011000	3992	Theoretical - No Known Name		C	0 1 2 3 7 8	1	D#			
C C# F F# G G# A .	7	1 1# 4 4# 5 5# 6 .	110001111100	3196	Theoretical - No Known Name		F	0 1 5 6 7 8 9	2	G#			
C C# D F F# Bb B .	7	1 1# 2 4 4# 7b 7 .	111001100011	3683	Theoretical - No Known Name		Bb	0 1 2 5 6 10 11	3	C#			
C Eb E Ab A Bb B .	7	1 3b 3 6b 6 7b 7 .	100110001111	2447	Theoretical - No Known Name		Ab	0 3 4 8 9 10 11	5	B			
C C# D F F# Bb .	6	1 1# 2 4 4# 7b .	111001100010	3682	Theoretical - No Known Name		Bb	0 1 2 5 6 10	3	C#			
C Eb E Ab Bb B .	6	1 3b 3 6b 7b 7 .	100110001011	2443	Theoretical - No Known Name		Ab	0 3 4 8 10 11	5	B			
C Eb Gb Ab Bb B .	6	1 3b 5b 6b 7b 7 .	100100101011	2347	Theoretical - No Known Name		Ab	0 3 6 8 10 11	5	B			
C C# D D# E G .	6	1 1# 2 2# 3 5 .	111110010000	3984	Theoretical - No Known Name		C	0 1 2 3 4 7	1	D#			
C C# D F Bb B .	6	1 1# 2 4 7b 7 .	111001000011	3651	Theoretical - No Known Name		Bb	0 1 2 5 10 11	3	C#			
C Eb Ab A Bb B .	6	1 3b 6b 6 7b 7 .	100100001111	2319	Theoretical - No Known Name		Ab	0 3 8 9 10 11	5	B			
C Db Eb Fb F Bbb Cb .	7	1 2b 3b 4b 4 7bb 8b .	110111000101	3525	Theoretical - No Known Name		Bbb	0 1 3 4 5 9 11	10	C			
C C# D E F F# Bb .	7	1 1# 2 3 4 4# 7b .	111011100010	3810	Theoretical - No Known Name		Bb	0 1 2 4 5 6 10	3	C#			
C D Eb E Ab Bb B .	7	1 2 3b 3 6b 7b 7 .	101110001011	2955	Theoretical - No Known Name		Ab	0 2 3 4 8 10 11	5	B			
C Db D Eb F Gb Cb .	7	1 2b 2 3b 4 5b 8b .	111101100001	3937	Theoretical - No Known Name		Cb	0 1 2 3 5 6 11	8	D			
C D D# E F# G .	6	1 2 2# 3 4# 5 .	101110110000	2992	Theoretical - No Known Name		C	0 2 3 4 6 7	1	D#			
C Db Eb Fb Bbb Cb .	6	1 2b 3b 4b 7bb 8b .	110110000101	3461	Theoretical - No Known Name		Bbb	0 1 3 4 9 11	10	C			
C D Eb Ab Bb B .	6	1 2 3b 6b 7b 7 .	101100001011	2827	Theoretical - No Known Name		Ab	0 2 3 8 10 11	5	B			
C Db Gb Ab A Bb .	6	1 2b 5b 6b 6  7b .	110000101110	3118	Theoretical - No Known Name		Gb	0 1 6 8 9 10	7	A			
C Db Eb Fb Bbb Bb Cb .	7	1 2b 3b 4b 7bb 7b 8b .	110110000111	3463	Theoretical - No Known Name		Bbb	0 1 3 4 9 10 11	10	C			
C F F# G G# A B .	7	1 4 4# 5 5# 6 7 .	100001111101	2173	Theoretical - No Known Name		F	0 5 6 7 8 9 11	2	G#			
C D Eb Ab A Bb B .	7	1 2 3b 6b 6 7b 7 .	101100001111	2831	Theoretical - No Known Name		Ab	0 2 3 8 9 10 11	5	B			
C Db Gb G Ab A Bb .	7	1 2b 5b 5 6b 6 7b .	110000111110	3134	Theoretical - No Known Name		Gb	0 1 6 7 8 9 10	7	A			
 C C# D D# E G G# B .	8	1 1# 2 2# 3 5 5# 7 .	111110011001	3993	Theoretical - No Known Name		C	0 1 2 3 7 8 11	1	D#			
C C# E F F# G G# A .	8	1 1# 3 4 4# 5 5# 5 .	110011111100	3324	Theoretical - No Known Name		F	0 1 4 5 6 7 8 9	2	G#			
C C# D F F# A Bb B .	8	1 1# 2 4 4# 6 7b 7 .	111001100111	3687	Theoretical - No Known Name		Bb	0 1 2 5 6 9 10 11	3	C#			
C Eb E G Ab A Bb B .	8	1 3b 3 5 6b 6 7b 7 .	100110011111	2463	Theoretical - No Known Name		Ab	0 3 4 7 8 9 10 11	5	B			
C C# D F F# A Bb .	7	1 1# 2 4 4# 6 7b .	111001100110	3686	Theoretical - No Known Name		Bb	0 1 2 5 6 9 10	3	C#			
C Eb E G Ab Bb B .	7	1 3b 3 5 6b 7b 7 .	100110011011	2459	Theoretical - No Known Name		Ab	0 3 4 7 8 10 11	5	B			
C E F G G# A .	6	1 3 4 5 5# 6 .	100011011100	2268	Raga Saravati (#5) (India)		F	0 4 5 7 8 9	2	G#			
C Eb G Ab Bb B .	6	1 3b 5 6b 7b 7 .	100100011011	2331	Theoretical - No Known Name		Ab	0 3 7 8 10 11	5	B			
C C# D D# E G B .	6	1 1# 2 2# 3 5 7 .	111110010001	3985	Theoretical - No Known Name		C	0 1 2 3 7 11	1	D#			
C E F F# G G# A .	7	1 3 4 4# 5 5# 6 .	100011111100	2300	Theoretical - No Known Name		F	0 4 5 6 7 8 9	2	G#			
C C# D F A Bb .	6	1 1# 2 4 6 7b .	111001000110	3654	Theoretical - No Known Name		Bb	0 1 2 5 9 10	3	C#			
C Eb G Ab A Bb B .	7	1 3b 5 6b 6 7b 7 .	100100011111	2335	Theoretical - No Known Name		Ab	0 3 7 8 9 10 11	5	B			
C Db Eb Fb F Ab Bbb Cb .	8	1 2b 3b 4b 4 6b 7bb 8b .	110111001101	3533	Theoretical - No Known Name		Bbb	0 1 3 4 5 8  9 11	10	C			
C C# D E F F# A Bb .	8	1 1# 2 3 4 4# 6 7b .	111011100110	3814	Theoretical - No Known Name		Bb	0 1 2 4 5 6 9 10	3	C#			
C D Eb E G Ab Bb B .	8	1 2 2# 3 5 6b 7b 7 .	101110011011	2971	Theoretical - No Known Name		Ab	0 2 3 4 7 8 10 11	5	B			
C Db E F G Ab A Bb .	8	1 2b 3 4 5 6b 6 7b .	110011011110	3294	Theoretical - No Known Name		Db	0 1 4 5 7 8 9 10	6	E			
C Db Eb Fb Ab Bbb Cb .	7	1 2b 3b 4b 6b 7bb 8b .	110110001101	3469	Theoretical - No Known Name		Bbb	0 1 3 4 8 9 11	10	C			
C C# D E F A Bb .	7	1 1# 2 3 4 6 7b .	111011000110	3782	Theoretical - No Known Name		Bb	0 1 2 4 5 9 10	3	C#			
C D Eb G Ab Bb B .	7	1 2 3b 5 6b 7b 7 .	101100011011	2843	Theoretical - No Known Name		Ab	0 2 3 7 8 10 11	5	B			
C Db F Gb Ab A Bb .	7	1 2b 4 5b 6b 6 7b .	110001101110	3182	Gipsy Hexatonic, Raga Kalakanti		Gb	0 1 5 6 8 9 10	7	A			
C Db Eb Fb Ab Bbb Bb Cb .	8	1 2b 3b 4b 6b 7bb 7b 8b .	110110001111	3471	Theoretical - No Known Name		Bbb	0 1 3 4 8 9 10 11	10	C			
C E F F# G G# A B .	8	1 3 4 4# 5 5# 6 7 .	100011111101	2301	Theoretical - No Known Name		F	0 4 5 6 7 8 9 11	2	G#			
C C# D E F A Bb B .	8	1 1# 2 3 4 6 7b 7 .	111011000111	3783	Theoretical - No Known Name		Bb	0 1 2 4 5 9 10 11	3	C#			
C D Eb G Ab A Bb B .	8	1 2 3b 5 6b 6 7b 7 .	101100011111	2847	Theoretical - No Known Name		Ab	0 2 3 7 8 9 10 11	5	B			
C Db D Eb F Gb Bb Cb .	8	1 2b 2 3b 4 5b 7b 8b .	111101100011	3939	Theoretical - No Known Name		Cb	0 1 2 3 5 6 10 11	8	D			
C C# D D# F# G G# A B .	9	1 1# 2 2# 4# 5 5# 6 7 .	111100111101	3901	Theoretical - No Known Name		C	0 1 2 3 6 7 8 9 11	1	D#			
C C# D E F F# G G# B .	9	1 1# 2 3 4 4# 5 5# 7 .	111011111001	3833	Theoretical - No Known Name		F	0 1 2 4 5 6 7 8 11	2	G#			
C C# E F F# G A Bb B .	9	1 1# 3 4 4# 5 6 7b 7 .	110011110111	3319	Theoretical - No Known Name		Bb	0 1 4 5 6 7 9 10 11	3	C#			
C D Eb E F F# A Bb B .	9	1 2 3b 3 4 4# 6 7b 7 .	101111100111	3047	Theoretical - No Known Name		Eb	0 2 3 4 5 6 9 10 11	4	B			
C Db Eb Fb F Gb G Bb Cb .	9	1 2b 3b 4b 4 5b 5 7b 8b .	110111110011	3571	Theoretical - No Known Name		Fb	0 1 3 4 5 6 7 10 11	9	G			
C C# D D# F# G G# A .	8	1 1# 2 2# 4# 5 5# 6 .	111100111100	3900	"Messiaen Mode 4 (all sharp)
 Messiaen Mode 4 (all sharp)
 Messiaen Mode 4 (all sharp)
 Messiaen Mode 4 (all sharp)
 Messiaen Mode 4 (all sharp)
 Messiaen Mode 4 (all sharp)
 Messiaen Mode 4 (all sharp)
 Messiaen Mode 4 (all sharp)
 Messiaen Mode 4 (all sharp)
 Messiaen Mode 4 (all sharp)
 Messiaen Mode 4 (all sharp)
 Messiaen Mode 4 (all sharp)
 Messiaen Mode 4 (all sharp)
 Messiaen Mode 4 (all sharp)
 "		C	0 1 2 3 6 7 8 9	1	D#		http://oliviermessiaen.net/musical-language/messiaens-chord-and-harmonic-theory/	
C C# D F F# G G# B .	8	1 1# 2 4 4# 5 5# 7 .	111001111001	3705	Messiaen Mode 4?		F	0 1 2 5 6 7 8 11	2	G#		http://oliviermessiaen.net/musical-language/messiaens-chord-and-harmonic-theory/	
C C# E F F# G Bb B .	8	1 1# 3 4 4# 5 7b 7 .	110011110011	3315	Theoretical - No Known Name		Bb	0 1 4 5 6 7 10 11	3	C#			
